movie_name,rating,language,year,label_lang_rating,USER RATING
Konfetti,,Afrikaans,2014,Afrikaans - Unknown,5.1
The Big Sky,Approved,Algonquin,1952,Algonquin - Unknown,Not found
Caramel,PG,Arabic,2007,Arabic - Family,7.1
Beauty and the Dogs,TV-MA,Arabic,2017,Arabic - Mature,Not found
The Crime,,Arabic,2022,Arabic - Unknown,Not found
Uncle Naji,,Arabic,2021,Arabic - Unknown,5.2
Our River...Our Sky,,Arabic,2021,Arabic - Unknown,7.0
Alhamour H.A.,,Arabic,2023,Arabic - Unknown,Not found
The Blue Whale,,Arabic,2020,Arabic - Unknown,2.6
Djamilah,,Arabic,1958,Arabic - Unknown,7.2
Kandisha,Not Rated,Arabic,2008,Arabic - Unknown,5.0
Al-lail,,Arabic,1992,Arabic - Unknown,7.6
The Flirtation of Girls,,Arabic,1949,Arabic - Unknown,7.6
The Knight and the Princess,,Arabic,2019,Arabic - Unknown,5.9
The Flower of Aleppo,,Arabic,2016,Arabic - Unknown,5.7
The Seventh Heaven,,Arabic,2007,Arabic - Unknown,4.9
My Bride,,Arabic,2021,Arabic - Unknown,5.0
Salt of This Sea,Unrated,Arabic,2008,Arabic - Unknown,Not found
Mimosas,Not Rated,Arabic,2016,Arabic - Unknown,Not found
Winter of Discontent,,Arabic,2012,Arabic - Unknown,6.9
Alkhallat+,TV-14,Arabic,2022,Arabic - Unknown,Not found
Ahlam Hind we Kamilia,,Arabic,1988,Arabic - Unknown,7.1
Watch Out for ZouZou,,Arabic,1972,Arabic - Unknown,6.6
Habibi Rasak Kharban,,Arabic,2011,Arabic - Unknown,6.6
Cairo Station,Not Rated,Arabic,1958,Arabic - Unknown,Not found
In the Sands of Babylon,,Arabic,2013,Arabic - Unknown,6.7
The Giant,TV-MA,Basque,2017,Basque - Mature,Not found
For 80 Days,,Basque,2010,Basque - Unknown,6.9
Myth of Love,,Bengali,2019,Bengali - Unknown,Not found
Three Daughters,Passed,Bengali,1961,Bengali - Unknown,Not found
Shatru,,Bengali,2011,Bengali - Unknown,4.8
Bancharamer Bagan,,Bengali,1980,Bengali - Unknown,8.2
The Clay Bird,,Bengali,2002,Bengali - Unknown,Not found
Tirandaj Shabor,,Bengali,2022,Bengali - Unknown,6.3
Tumi Ashbe Bole,,Bengali,2021,Bengali - Unknown,3.4
Angry Birds,,Bengali,2021,Bengali - Unknown,Not found
Goopy Gyne Bagha Byne,,Bengali,1969,Bengali - Unknown,Not found
Roseville,,Bulgarian,2013,Bulgarian - Unknown,Not found
Viktoria,Not Rated,Bulgarian,2014,Bulgarian - Unknown,6.4
Privarzaniyat balon,,Bulgarian,1967,Bulgarian - Unknown,7.4
Duo biao,PG,Cantonese,2008,Cantonese - Family,5.1
In the Mood for Love,PG,Cantonese,2000,Cantonese - Family,Not found
City on Fire,R,Cantonese,1987,Cantonese - Mature,Not found
Mad Monkey Kung Fu,R,Cantonese,1979,Cantonese - Mature,Not found
Ab-normal Beauty,R,Cantonese,2004,Cantonese - Mature,Not found
Lucky Stars Go Places,R,Cantonese,1986,Cantonese - Mature,5.5
Legendary Weapons of China,R,Cantonese,1982,Cantonese - Mature,6.8
Infernal Affairs,R,Cantonese,2002,Cantonese - Mature,Not found
Prison on Fire II,TV-MA,Cantonese,1991,Cantonese - Mature,Not found
Ip Man,R,Cantonese,2008,Cantonese - Mature,Not found
New Police Story,R,Cantonese,2004,Cantonese - Mature,6.9
Story of Ricky,R,Cantonese,1991,Cantonese - Mature,7.0
Special ID,R,Cantonese,2013,Cantonese - Mature,Not found
The Lover,R,Cantonese,1992,Cantonese - Mature,6.8
Beast Cops,TV-MA,Cantonese,1998,Cantonese - Mature,Not found
Ip Man 2,R,Cantonese,2010,Cantonese - Mature,Not found
Chungking Express,PG-13,Cantonese,1994,Cantonese - Teen,Not found
The Magnificent Butcher,PG-13,Cantonese,1979,Cantonese - Teen,Not found
Project A,PG-13,Cantonese,1983,Cantonese - Teen,7.2
Tiger Cage III,,Cantonese,1991,Cantonese - Unknown,5.6
In the Line of Duty III,,Cantonese,1988,Cantonese - Unknown,6.6
Fire Dragon,,Cantonese,1994,Cantonese - Unknown,3.0
The Bride with White Hair,,Cantonese,1993,Cantonese - Unknown,Not found
Full Throttle,,Cantonese,1995,Cantonese - Unknown,6.5
Pedicab Driver,Not Rated,Cantonese,1989,Cantonese - Unknown,Not found
Yan shi huan hun ji,,Cantonese,1956,Cantonese - Unknown,5.6
Full Contact,Not Rated,Cantonese,1992,Cantonese - Unknown,5.6
The Bride with White Hair II,,Cantonese,1993,Cantonese - Unknown,Not found
Forbidden City Cop,,Cantonese,1996,Cantonese - Unknown,Not found
Dreadnaught,,Cantonese,1981,Cantonese - Unknown,Not found
Po jian ji xian feng,,Cantonese,1991,Cantonese - Unknown,6.9
The Longest Nite,Not Rated,Cantonese,1997,Cantonese - Unknown,Not found
My Young Auntie,Not Rated,Cantonese,1981,Cantonese - Unknown,Not found
Kill Zone,Not Rated,Cantonese,2005,Cantonese - Unknown,6.9
Beyond the Dream,,Cantonese,2019,Cantonese - Unknown,Not found
Integrity,,Cantonese,2019,Cantonese - Unknown,5.5
