movie_id,movie_name,genre
tt11137336,The Beauty,Romance
tt1309557,Eamon,"Comedy, Romance"
tt0038504,Earl Carroll Sketchbook,"Comedy, Music, Romance"
tt3297804,Art Idol,"Comedy, Drama, Romance"
tt0140917,O Corpo Ardente,"Drama, Romance"
tt0169253,Songs and Saddles,"Action, Adventure, Crime"
tt2527256,My Cornerstone,"Comedy, Drama, Romance"
tt4556662,Further Ed,"Comedy, Romance"
tt0032629,In Old Missouri,"Adventure, Comedy, Drama"
tt0021030,Knowing Men,"Comedy, Romance"
tt0027146,Two Sinners,Romance
tt0344568,Wo men hai pa,"Drama, Romance"
tt0029272,Nobody's Wife,"Drama, Romance"
tt0127163,Prisoners in Petticoats,"Action, Crime, Drama"
tt0128542,Sluchaynyy vals,Romance
tt14214828,Out with the Old,"Comedy, Romance"
tt3212776,The Seventh Heaven,"Drama, Romance"
tt6112836,Have You Seen My Movie?,"Adventure, Comedy, Romance"
tt0027764,The House of a Thousand Candles,"Action, Romance"
tt0119331,Hunger: Longing for Love,"Romance, Drama"
tt22742012,Love Solutions,Romance
tt0166230,Jocelyn,"Drama, Romance"
tt2977364,Kyz-Zhibek,"Drama, History, Romance"
tt0038801,One Exciting Week,"Comedy, Crime, Romance"
tt4111044,Show Business,"Comedy, Drama, Romance"
tt0106742,Dollar Mambo,"Drama, Music, Romance"
tt0039894,That's My Gal,"Action, Comedy, Music"
tt0325758,Love = (Me)^3,Romance
tt2645472,The Flame of Devotion,"Drama, Romance"
tt0188858,Los de la mesa 10,"Drama, Romance"
tt2112981,Julien & Claire,"Drama, Music, Romance"
tt3691942,Dracula's Angel,"Animation, Horror, Romance"
tt0312565,Choyeon,"Comedy, Drama, Romance"
tt1942899,Khlib i sil,"Drama, Romance"
tt0072145,Wu yi,"Drama, Romance"
tt0010849,A Virtuous Vamp,"Comedy, Romance"
tt0206234,Qiu Haitang,"Drama, Romance"
tt7493806,Lenses on Her Heart,"Comedy, Drama, Romance"
tt3656810,Tian xian pei,"Musical, Romance"
tt0034439,Ala-Arriba!,"Drama, Romance"
tt4704862,The Abstraction,"Drama, Horror, Romance"
tt9114286,Black Panther: Wakanda Forever,"Action, Adventure, Drama"
tt1630029,Avatar: The Way of Water,"Action, Adventure, Fantasy"
tt6710474,Everything Everywhere All at Once,"Action, Adventure, Comedy"
tt8760708,M3GAN,"Horror, Sci-Fi, Thriller"
tt1825683,Black Panther,"Action, Adventure, Sci-Fi"
tt0499549,Avatar,"Action, Adventure, Fantasy"
tt13539646,The Wandering Earth II,"Action, Adventure, Drama"
tt6443346,Black Adam,"Action, Adventure, Fantasy"
tt0816692,Interstellar,"Adventure, Drama, Sci-Fi"
tt8041270,Jurassic World: Dominion,"Action, Adventure, Sci-Fi"
tt1392170,The Hunger Games,"Action, Adventure, Sci-Fi"
tt1160419,Dune,"Action, Adventure, Drama"
tt10954984,Nope,"Horror, Mystery, Sci-Fi"
tt10648342,Thor: Love and Thunder,"Action, Adventure, Comedy"
tt1375666,Inception,"Action, Adventure, Sci-Fi"
tt10872600,Spider-Man: No Way Home,"Action, Adventure, Fantasy"
tt4154796,Avengers: Endgame,"Action, Adventure, Drama"
tt22769820,Legion of Super-Heroes,"Animation, Action, Sci-Fi"
tt10298840,Strange World,"Animation, Action, Adventure"
tt1856101,Blade Runner 2049,"Action, Drama, Mystery"
tt0133093,The Matrix,"Action, Sci-Fi"
tt11286314,Don't Look Up,"Comedy, Drama, Sci-Fi"
tt5113044,Minions: The Rise of Gru,"Animation, Adventure, Comedy"
tt0116629,Independence Day,"Action, Adventure, Sci-Fi"
tt20225374,Vesper,"Adventure, Drama, Sci-Fi"
tt6723592,Tenet,"Action, Sci-Fi, Thriller"
tt6334354,The Suicide Squad,"Action, Adventure, Comedy"
tt0088763,Back to the Future,"Adventure, Comedy, Sci-Fi"
tt0482571,The Prestige,"Drama, Mystery, Sci-Fi"
tt0107290,Jurassic Park,"Action, Adventure, Sci-Fi"
tt0478970,Ant-Man,"Action, Comedy, Sci-Fi"
tt0338013,Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi"
tt1631867,Edge of Tomorrow,"Action, Adventure, Sci-Fi"
